"date","borough","community_district","count","borough_code","BoroCD","case_count","death_count"
2020-05-31,"Brooklyn",12,150,3,"312",28418,2819
2020-05-31,"Brooklyn",13,430,3,"313",28418,2819
2020-05-31,"Brooklyn",14,456,3,"314",28418,2819
2020-05-31,"Brooklyn",15,169,3,"315",28418,2819
2020-05-31,"Brooklyn",16,1556,3,"316",28418,2819
2020-05-31,"Brooklyn",17,1165,3,"317",28418,2819
2020-05-31,"Brooklyn",18,741,3,"318",28418,2819
2020-05-31,"Brooklyn",55,1143.5,3,"355",28418,2819
2020-05-31,"Brooklyn",56,1143.5,3,"356",28418,2819
2020-05-31,"Manhattan",1,509,1,"101",28418,2819
2020-05-31,"Manhattan",2,44,1,"102",28418,2819
2020-05-31,"Manhattan",3,591,1,"103",28418,2819
2020-05-31,"Manhattan",4,300,1,"104",28418,2819
2020-05-31,"Manhattan",5,145,1,"105",28418,2819
2020-05-31,"Manhattan",6,139,1,"106",28418,2819
2020-05-31,"Manhattan",7,318,1,"107",28418,2819
2020-05-31,"Manhattan",8,111,1,"108",28418,2819
2020-05-31,"Manhattan",9,667,1,"109",28418,2819
2020-05-31,"Manhattan",10,1347,1,"110",28418,2819
2020-05-31,"Manhattan",11,1303,1,"111",28418,2819
2020-05-31,"Manhattan",12,673,1,"112",28418,2819
2020-05-31,"Manhattan",64,3087,1,"164",28418,2819
2020-05-31,"Queens",1,725,4,"401",28418,2819
2020-05-31,"Queens",2,356,4,"402",28418,2819
2020-05-31,"Queens",3,291,4,"403",28418,2819
2020-05-31,"Queens",4,215,4,"404",28418,2819
2020-05-31,"Queens",5,209,4,"405",28418,2819
2020-05-31,"Queens",6,69,4,"406",28418,2819
2020-05-31,"Queens",7,192,4,"407",28418,2819
2020-05-31,"Queens",8,276,4,"408",28418,2819
2020-05-31,"Queens",9,298,4,"409",28418,2819
2020-05-31,"Queens",10,247,4,"410",28418,2819
2020-05-31,"Queens",11,34,4,"411",28418,2819
2020-05-31,"Queens",12,1610,4,"412",28418,2819
2020-05-31,"Queens",13,659,4,"413",28418,2819
2020-05-31,"Queens",14,1006,4,"414",28418,2819
2020-05-31,"Queens",80,356.6,4,"480",28418,2819
2020-05-31,"Queens",81,356.6,4,"481",28418,2819
2020-05-31,"Queens",82,356.6,4,"482",28418,2819
2020-05-31,"Queens",83,356.6,4,"483",28418,2819
2020-05-31,"Queens",84,356.6,4,"484",28418,2819
2020-05-31,"Staten Island",1,818,5,"501",28418,2819
2020-05-31,"Staten Island",2,81,5,"502",28418,2819
2020-05-31,"Staten Island",3,50,5,"503",28418,2819
2020-05-31,"Staten Island",95,154,5,"595",28418,2819
2020-06-30,"Bronx",1,1870,2,"201",10845,679
2020-06-30,"Bronx",2,905,2,"202",10845,679
2020-06-30,"Bronx",3,1860,2,"203",10845,679
2020-06-30,"Bronx",4,2063,2,"204",10845,679
2020-06-30,"Bronx",5,1845,2,"205",10845,679
2020-06-30,"Bronx",6,1470,2,"206",10845,679
2020-06-30,"Bronx",7,1247,2,"207",10845,679
2020-06-30,"Bronx",8,281,2,"208",10845,679
2020-06-30,"Bronx",9,1713,2,"209",10845,679
2020-06-30,"Bronx",10,483,2,"210",10845,679
2020-06-30,"Bronx",11,671,2,"211",10845,679
2020-06-30,"Bronx",12,1803,2,"212",10845,679
2020-06-30,"Bronx",26,996.666666666667,2,"226",10845,679
2020-06-30,"Bronx",27,996.666666666667,2,"227",10845,679
2020-06-30,"Bronx",28,996.666666666667,2,"228",10845,679
2020-06-30,"Brooklyn",1,397,3,"301",10845,679
2020-06-30,"Brooklyn",2,410,3,"302",10845,679
2020-06-30,"Brooklyn",3,1544,3,"303",10845,679
2020-06-30,"Brooklyn",4,645,3,"304",10845,679
2020-06-30,"Brooklyn",5,2288,3,"305",10845,679
2020-06-30,"Brooklyn",6,269,3,"306",10845,679
2020-06-30,"Brooklyn",7,201,3,"307",10845,679
2020-06-30,"Brooklyn",8,726,3,"308",10845,679
2020-06-30,"Brooklyn",9,553,3,"309",10845,679
2020-06-30,"Brooklyn",10,111,3,"310",10845,679
2020-06-30,"Brooklyn",11,183,3,"311",10845,679
2020-06-30,"Brooklyn",12,146,3,"312",10845,679
2020-06-30,"Brooklyn",13,409,3,"313",10845,679
2020-06-30,"Brooklyn",14,461,3,"314",10845,679
2020-06-30,"Brooklyn",15,165,3,"315",10845,679
2020-06-30,"Brooklyn",16,1569,3,"316",10845,679
2020-06-30,"Brooklyn",17,1106,3,"317",10845,679
2020-06-30,"Brooklyn",18,733,3,"318",10845,679
2020-06-30,"Brooklyn",55,1157.5,3,"355",10845,679
2020-06-30,"Brooklyn",56,1157.5,3,"356",10845,679
2020-06-30,"Manhattan",1,513,1,"101",10845,679
2020-06-30,"Manhattan",2,41,1,"102",10845,679
2020-06-30,"Manhattan",3,580,1,"103",10845,679
2020-06-30,"Manhattan",4,296,1,"104",10845,679
2020-06-30,"Manhattan",5,145,1,"105",10845,679
2020-06-30,"Manhattan",6,147,1,"106",10845,679
2020-06-30,"Manhattan",7,303,1,"107",10845,679
